Folder,Filename,Episode,Success Rate (%),Avg Reward,Q_Coverage (%),Dom_Action,Version
gentle4,light8-b2_ep2539.npz,2539,90.0,907.4136411505755,100.0,Right,V5
gentle4,light8-b1_ep3945.npz,3945,90.0,890.907869548282,100.0,Left,V2
gentle4,light8-b1_ep1637.npz,1637,90.0,850.264160758216,100.0,Left,V5
gentle4,light8-b1_ep1063.npz,1063,80.0,826.9474506896538,100.0,Left,V5
pivot6,light8-b2_ep3727.npz,3727,80.0,816.6378974846888,100.0,Forward,V5
pivot6,light8-b1_ep11044.npz,11044,80.0,815.6330849981089,96.88,Forward,
gentle4,light8-b1_ep5215.npz,5215,80.0,783.6235626050529,100.0,Left,V4
gentle4,light8-b2_ep4164.npz,4164,80.0,743.334035334188,100.0,Left,V4
gentle4,light8-b1_ep4397.npz,4397,80.0,722.7916258422408,100.0,Right,V3
gentle4,light8-b2_ep1971.npz,1971,80.0,706.4931559747519,100.0,Right,V2
gentle4,light8-b1_ep14927.npz,14927,70.0,787.9614910777891,100.0,Left,V5
pivot6,light8-b1_ep14233.npz,14233,70.0,745.6580720678351,100.0,Action_4,
gentle4,light8-b2_ep3450.npz,3450,70.0,654.9938526538906,100.0,Left,V5
gentle4,light8-b1_ep4567.npz,4567,70.0,634.8986810322251,86.46,Right,V2
gentle4,light8-b1_ep4567.npz,4567,70.0,634.8986810322251,86.46,Right,V4
gentle4,light8-b1_ep5804.npz,5804,70.0,633.1805052957764,94.79,Left,V3
gentle4,light8-b1_ep3645.npz,3645,70.0,555.3214602820319,100.0,Left,V5
gentle4,light8-b2_ep3867.npz,3867,70.0,508.64148894959334,84.38,Forward,V5
pivot6,light8-b1_ep7524.npz,7524,60.0,585.5709313425367,100.0,Right,V5
gentle4,light8-b1_ep12698.npz,12698,60.0,580.8633739744389,100.0,Right,V4
gentle4,light8-b1_ep4459.npz,4459,60.0,580.3122186491393,100.0,Stop,V4
gentle4,light8-b1_ep2718.npz,2718,60.0,537.4522157581184,95.31,Forward,V3
gentle4,light8-b1_ep13620.npz,13620,60.0,458.80757880124355,100.0,Forward,V3
gentle4,light8-b1_ep3443.npz,3443,60.0,423.8051447596996,83.33,Right,V2
pivot6,light8-b1_ep9561.npz,9561,50.0,625.9191152938106,100.0,Stop,
gentle4,light8-b1_ep5211.npz,5211,50.0,490.8062316948009,96.88,Right,V3
pivot6,light8-b2_ep10720.npz,10720,50.0,429.0939483810923,99.22,Stop,V3
gentle4,light8-b1_ep5202.npz,5202,50.0,408.15196862247774,92.71,Left,V2
pivot6,light8-b1_ep13871.npz,13871,50.0,381.1982768511049,100.0,Forward,V4
gentle4,light8-b1_ep8912.npz,8912,50.0,363.9144868453677,100.0,Forward,V3
gentle4,light8-b2_ep5460.npz,5460,50.0,264.15204869160686,89.58,Left,V3
pivot6,light8-b1_ep7015.npz,7015,40.0,507.6977872671346,100.0,Stop,V3
pivot6,light8-b2_ep11192.npz,11192,40.0,502.0199336898363,96.35,Stop,V3
pivot6,light8-b2_ep6712.npz,6712,40.0,387.52032688324414,87.5,Right,V5
gentle4,light8-b1_ep3104.npz,3104,40.0,358.6720156903732,100.0,Forward,V2
gentle4,light8-b2_ep3298.npz,3298,40.0,308.4078909305047,100.0,Right,V3
pivot6,light8-b1_ep3058.npz,3058,40.0,308.28488299453284,84.38,Action_4,V2
pivot6,light8-b1_ep3058.npz,3058,40.0,308.28488299453284,84.38,Action_4,V4
gentle4,light8-b2_ep4018.npz,4018,40.0,284.2091689311329,100.0,Forward,V5
gentle4,light8-b2_ep4354.npz,4354,30.0,374.41422276961003,100.0,Stop,V5
pivot6,light8-b2_ep10167.npz,10167,30.0,294.36953112551555,96.88,Action_4,V2
gentle4,light8-b2_ep10994.npz,10994,30.0,282.17921685991394,100.0,Left,
gentle4,light8-b1_ep4693.npz,4693,30.0,262.9903216244935,100.0,Forward,V2
gentle4,light8-b1_ep12381.npz,12381,30.0,205.89451466558785,100.0,Left,V3
pivot6,light8-b1_ep12257.npz,12257,30.0,172.7004206120418,97.92,Forward,V2
pivot6,light8-b1_ep12257.npz,12257,30.0,172.7004206120418,97.92,Forward,V4
pivot6,light8-b2_ep5124.npz,5124,30.0,149.60769381015285,100.0,Right,V3
gentle4,light8-b2_ep4957.npz,4957,30.0,127.73990497539361,100.0,Right,V3
pivot6,light8-b1_ep8115.npz,8115,30.0,126.49048763986409,96.88,Forward,V5
pivot6,light8-b1_ep5624.npz,5624,30.0,124.23315997293307,100.0,Left,V3
pivot6,light8-b1_ep3098.npz,3098,30.0,108.4001480627151,83.33,Forward,V5
gentle4,light8-b1_ep13298.npz,13298,30.0,87.92779073653962,100.0,Right,V2
pivot6,light8-b2_final.npz,-1,30.0,44.38115132460184,96.88,Stop,V3
gentle4,light8-b1_ep9448.npz,9448,30.0,43.69836733431508,100.0,Left,V2
gentle4,light8-b2_ep14831.npz,14831,30.0,32.6966074737505,100.0,Forward,V4
